0,CombatZoneResize,239,226,404,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,sansslam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0.2,BoneStab,3,35,0.3,9999,,,,
1,sansslam,2,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,BoneStab,2,35,0.3,3.9999,,,,
1,sansslam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,35,0.3,9999,,,,
0.1,SansSlam,0,,,,,,,
0,BoneStab,0,35,0.3,9999,,,,
0,HeartMode,0,,,,,,,
0,Sound,Ding,,,,,,,
0,SansAnimation,,,,,,,,
0,SET,glp,4,,,,,,
0,MUL,Ung,$gt,-10,,,,,
0,COS,N,$Ung,,,,,,
0,SIN,O,$Ung,,,,,,
0,MUL,EndN,$N,300,,,,,
0,MUL,EndO,$O,300,,,,,
0,MUL,N,$EndN,3,,,,,
0,MUL,O,$EndO,3,,,,,
0,ADD,N,$N,320,,,,,
0,ADD,O,$O,306,,,,,
0,ADD,EndN,$EndN,320,,,,,
0,ADD,EndO,$EndO,306,,,,,
0,ADD,Ung,$Ung,180,,,,,
0,GasterBlaster,0,$N,$O,$EndN,$EndO,$Ung,0.5,0
0,ADD,gt,$gt,1,,,,,
0,SUB,glp,$glp,1,,,,,
0.15,JMPNZ,20,$glp,,,,,,
7.3,EndAttack,,,,,,,


